date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2004-01-15,Androy,Ambovombe-Androy,Ambovombe-androy,736,-25.18,46.09,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,584.5,0.27
2004-01-15,Androy,Bekily,Morafeno Bekily,738,-24.22,45.32,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,546.7,0.25
2004-01-15,Androy,Beloha,Beloha,734,-25.17,45.06,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,560,0.26
2004-01-15,Androy,Tsihombe,Tsihombe,735,-25.32,45.48,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,577.5,0.27
2004-01-15,Anosy,Amboasary-Atsimo,Amboasary Sud,737,-25.04,46.38,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,528.5,0.24
2004-01-15,Atsimo Andrefana,Ampanihy Ouest,Ampanihy,733,-24.7,44.75,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,532,0.25
2004-01-15,Atsimo Andrefana,Betioky Atsimo,Betioky,732,-23.72,44.38,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,442.4,0.2
2004-02-15,Androy,Bekily,Morafeno Bekily,738,-24.22,45.32,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,546.7,0.25
2004-02-15,Androy,Beloha,Beloha,734,-25.17,45.06,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,602,0.28
2004-02-15,Androy,Tsihombe,Tsihombe,735,-25.32,45.48,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,658,0.3
2004-02-15,Anosy,Amboasary-Atsimo,Amboasary Sud,737,-25.04,46.38,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,531.3,0.25
2004-02-15,Atsimo Andrefana,Ampanihy Ouest,Ampanihy,733,-24.7,44.75,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,548.1,0.25
2004-02-15,Atsimo Andrefana,Betioky Atsimo,Betioky,732,-23.72,44.38,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,485.1,0.22
2004-03-15,Androy,Bekily,Morafeno Bekily,738,-24.22,45.32,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,505.4,0.23
2004-03-15,Androy,Beloha,Beloha,734,-25.17,45.06,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,612.5,0.28
2004-03-15,Androy,Tsihombe,Tsihombe,735,-25.32,45.48,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,665,0.31
2004-03-15,Anosy,Amboasary-Atsimo,Amboasary Sud,737,-25.04,46.38,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,595,0.28
2004-03-15,Atsimo Andrefana,Ampanihy Ouest,Ampanihy,733,-24.7,44.75,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,591.5,0.27
2004-03-15,Atsimo Andrefana,Betioky Atsimo,Betioky,732,-23.72,44.38,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,531.3,0.25
2004-06-15,Androy,Ambovombe-Androy,Ambovombe-androy,736,-25.18,46.09,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,798,0.37
2004-06-15,Androy,Bekily,Morafeno Bekily,738,-24.22,45.32,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,658,0.3
2004-06-15,Androy,Beloha,Beloha,734,-25.17,45.06,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,787.5,0.36
2004-06-15,Androy,Tsihombe,Tsihombe,735,-25.32,45.48,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,791,0.37
2004-06-15,Anosy,Amboasary-Atsimo,Amboasary Sud,737,-25.04,46.38,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,617.4,0.29
2004-06-15,Atsimo Andrefana,Ampanihy Ouest,Ampanihy,733,-24.7,44.75,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,761.6,0.35
2004-06-15,Atsimo Andrefana,Betioky Atsimo,Betioky,732,-23.72,44.38,cereals and tubers,Rice (local),71,KG,actual,Retail,MGA,731.5,0.34
